id,label,group,level
482,FXR1,human protein,3
483,FXR2,human protein,3
484,FXYD2,human protein,3
485,FYCO1,human protein,3
486,FZD7,human protein,3
487,G3BP1,human protein,3
488,G3BP2,human protein,3
489,GABARAPL2,human protein,3
490,GAL3ST1,human protein,3
491,GALK1,human protein,3
492,GALNT1,human protein,3
493,GALNT10,human protein,3
494,GALNT12,human protein,3
495,GAPDH,human protein,3
496,GBF1,human protein,3
497,GCC1,human protein,3
498,GCC2,human protein,3
499,GCLC,human protein,3
500,GCNT3,human protein,3
501,GDF15,human protein,3
502,GEMIN4,human protein,3
503,GFER,human protein,3
504,GGCX,human protein,3
505,GGH,human protein,3
506,GGT1,human protein,3
507,GGT7,human protein,3
508,GHITM,human protein,3
509,GIGYF2,human protein,3
510,GINM1,human protein,3
511,GJA1,human protein,3
512,GLA,human protein,3
513,GLCE,human protein,3
514,GLO1,human protein,3
515,GLYM,human protein,3
516,GNA13,human protein,3
517,GNAQ,human protein,3
518,GNAS,human protein,3
519,GNB1,human protein,3
520,GNG5,human protein,3
521,GNPAT,human protein,3
522,GOLGA2,human protein,3
523,GOLGA3,human protein,3
524,GOLGA5,human protein,3
525,GOLGA7,human protein,3
526,GOLGB1,human protein,3
527,GOLIM4,human protein,3
528,GOLM1,human protein,3
529,GORASP1,human protein,3
530,GORASP2,human protein,3
531,GOSR1,human protein,3
532,GOSR2,human protein,3
533,GPAA1,human protein,3
534,GPD2,human protein,3
535,GPI,human protein,3
536,GPR37,human protein,3
537,GPR39,human protein,3
538,GPR89A,human protein,3
539,GPR89A; GPR89B,human protein,3
540,GPX1,human protein,3
541,GPX8,human protein,3
542,GRIPAP1,human protein,3
543,GRPEL1,human protein,3
544,GSK3A,human protein,3
545,GTF2F2,human protein,3
546,GTF3C1,human protein,3
547,GTPBP4,human protein,3
548,GUF1,human protein,3
549,GUSB,human protein,3
550,HADHA,human protein,3
551,HARS2,human protein,3
552,HAUS6,human protein,3
553,HAVCR1,human protein,3
554,HAX1,human protein,3
555,HDAC2,human protein,3
556,HDGF,human protein,3
557,HEATR3,human protein,3
558,HECTD1,human protein,3
559,HERC1,human protein,3
560,HFE,human protein,3
561,HIGD2A,human protein,3
562,HINT1,human protein,3
563,HLA-A,human protein,3
564,HLA-C,human protein,3
565,HLA-DMB,human protein,3
566,HLA-DQB1,human protein,3
567,HLA-E,human protein,3
568,HLA-G,human protein,3
569,HMGA1,human protein,3
570,HMGCR,human protein,3
571,HMGCS2,human protein,3
572,HMGN1,human protein,3
573,HMOX1,human protein,3
574,HMOX2,human protein,3
575,HNRNPA0,human protein,3
576,HNRNPK,human protein,3
577,HNRNPUL1,human protein,3
578,HNRNPUL2,human protein,3
579,HOOK1,human protein,3
580,HOOK2,human protein,3
581,HOOK3,human protein,3
582,HP1BP3,human protein,3
583,HPCAL1,human protein,3
584,HS2ST1,human protein,3
585,HS6ST2,human protein,3
586,HSBP1,human protein,3
587,HSPA13,human protein,3
588,HSPA1A,human protein,3
589,HSPA2,human protein,3
590,HSPA4,human protein,3
591,HSPA4L,human protein,3
592,HSPA5,human protein,3
593,HSPA6,human protein,3
594,HSPA8,human protein,3
595,HSPA9,human protein,3
596,HSPH1,human protein,3
597,HTATIP2,human protein,3
598,HYOU1,human protein,3
599,IDE,human protein,3
600,IDH1,human protein,3
601,IFITM1,human protein,3
602,IFNGR1,human protein,3
603,IGF2R,human protein,3
604,IGFBP3,human protein,3
605,IGFBP4,human protein,3
606,IKKB,human protein,3
607,IKKE,human protein,3
608,IL10RB,human protein,3
609,IL13RA1,human protein,3
610,IL17RA,human protein,3
611,IL31RA,human protein,3
612,IL6ST,human protein,3
613,IMMP1L,human protein,3
614,IMMT,human protein,3
615,IMPDH2,human protein,3
616,INHBE,human protein,3
617,INTS1,human protein,3
618,INTS12,human protein,3
