to,from
3,1281
3,1100
3,445
3,40
3,77
3,38
3,175
4,1097
4,868
4,295
4,296
4,487
4,869
4,655
4,446
4,1213
4,1439
4,743
4,488
4,326
4,1045
4,1084
35,525
35,1500
6,937
6,958
6,959
6,938
6,275
6,913
7,98
7,503
7,417
7,99
7,543
8,1285
9,1109
9,158
9,76
9,769
9,1204
9,1071
9,1424
9,1418
9,891
9,976
9,1423
9,1509
9,289
9,1446
9,1493
9,656
9,1048
9,1292
9,950
9,917
10,1289
10,250
10,586
10,884
10,238
10,961
10,960
10,962
10,1055
10,231
10,1316
10,1317
10,1318
10,523
10,522
10,526
10,542
10,237
10,886
10,233
10,239
10,268
10,416
10,498
10,259
10,813
10,232
10,736
10,1444
10,497
10,637
10,228
10,78
10,529
10,485
10,182
10,236
10,1288
10,579
10,814
11,512
11,615
11,1148
12,857
12,105
12,1079
14,1169
14,389
14,945
14,1041
14,1471
14,467
14,509
16,599
16,1308
16,86
16,849
16,1312
16,347
16,1309
16,1314
17,555
17,540
17,1399
19,131
19,133
19,1146
19,124
20,72
20,308
20,58
20,309
20,1039
20,276
20,1030
20,1031
20,1032
20,1023
20,1017
20,1019
20,1068
20,1021
20,519
20,520
20,668
20,741
20,1383
20,758
20,1016
20,584
20,799
20,1120
20,1119
20,783
20,317
20,440
20,348
20,1130
20,997
20,1020
21,744
21,1233
21,115
21,835
21,1231
21,1232
21,751
21,324
21,657
21,719
21,811
21,431
21,781
21,820
21,208
21,1134
21,429
21,428
21,41
21,558
21,749
21,753
21,427
21,752
22,545
22,456
22,457
22,850
22,853
22,316
22,390
